,Date,Time,hashtags,tagged_usernames,Text,tokens,data
849,2020-05-20,11:49:00,[],"['@milligazette:', '@muslimmirror']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']",fir against  news website according to gujarat police a day after the shahpur stonepelting a video was
850,2020-05-20,11:48:00,"['#bjp', '#rss', '#rss_terrorists']",['@muslimmirror:'],"['armed', 'bjp', 'rss', 'activists', 'police', 'shahpur', 'ahmedabad', 'rss_terrorists']","['armed', 'bjp', 'rss', 'activists', 'police', 'shahpur', 'ahmedabad', 'rss_terrorists']",armed bjp rss activists with police in shahpur  ahmedabad rss terrorists
851,2020-05-20,11:51:00,[],['@alain_berset&amp;hellip;'],"['press', 'conference', 'federal', 'council', 'coronavirus', '.', '20.5.2020', '14.30.with', '&', 'amp', ';', 'hellip', ';', '-']","['press', 'conference', 'federal', 'council', 'coronavirus', '.', '20.5.2020', '14.30.with', '&', 'amp', ';', 'hellip', ';', '-']",press conference of the federal council on the coronavirus on  at with amphellip 
852,2020-05-20,11:51:00,['#lockdown'],[],"['lockdown', 'failure', 'doubt', 'cases', 'less', 'compared', 'population', 'everyone', 'behaving', 'normal', 'unnecessa']","['lockdown', 'failure', 'doubt', 'cases', 'less', 'compared', 'population', 'everyone', 'behaving', 'normal', 'unnecessa']",lockdown is failure no doubt our cases are less compared to population but everyone behaving normal now unnecessa
853,2020-05-20,11:51:00,"['#covid19', '#pharmacist']",['@sharmakirtija'],"['people', 'trying', 'stay', 'home', 'safe', 'many', 'covid19', 'warriors', 'like', 'pharmacist']","['people', 'trying', 'stay', 'home', 'safe', 'many', 'covid19', 'warriors', 'like', 'pharmacist']",when people are trying to stay at home and be safe many covid warriors like pharmacist  and her
854,2020-05-20,11:51:00,[],['@suriya_offl'],"['day', '3-we', 'nkl', 'east', 'fans', 'club', 'members', 'donated', '500', 'water', 'bottles', 'paramathi', 'police', 'station']","['day', '3-we', 'nkl', 'east', 'fans', 'club', 'members', 'donated', '500', 'water', 'bottles', 'paramathi', 'police', 'station']",day we nkl east  fans club members donated  water bottles to paramathi police station during this
855,2020-05-20,11:51:00,[],['@suriya_offl'],"['day', '2-we', 'nkl', 'east', 'fans', 'club', 'members', 'donated', 'vegetable', 'rice', '50', 'peoples', 'sheltered']","['day', '2-we', 'nkl', 'east', 'fans', 'club', 'members', 'donated', 'vegetable', 'rice', '50', 'peoples', 'sheltered']",day we nkl east  fans club members donated vegetable rice to  peoples who have been sheltered in
856,2020-05-20,11:51:00,[],[],"['going', 'forever', '?', 'cambridge', 'ont', '.', 'woman', 'tests', 'positive', 'covid-19', 'eight', 'times', '50', 'days', '|']","['going', 'forever', '?', 'cambridge', 'ont', '.', 'woman', 'tests', 'positive', 'covid-19', 'eight', 'times', '50', 'days', '|']",am i going to have it forever  cambridge ont woman tests positive for covid eight times in  days 
857,2020-05-20,11:51:00,['#corona'],['@wupperinst:'],"['global', 'glimpses', 'corona', '-', 'sustainable', 'development', 'corona', 'times', '-', 'call', 'global', 'solidarity', 'series', 'articl']","['global', 'glimpses', 'corona', '-', 'sustainable', 'development', 'corona', 'times', '-', 'call', 'global', 'solidarity', 'series', 'articl']",global glimpses on corona  sustainable development in corona times  a call for global solidarity in a series of articl
858,2020-05-20,11:51:00,[],"['@vignesh21132604:', '@suriya_offl']","['day', '1-', 'namakkal', 'east', 'fans', 'club', 'members', 'donated', 'grocery', 'items', '&', 'amp', ';', 'vegetables', '100', 'sweepers', 'thi']","['day', '1-', 'namakkal', 'east', 'fans', 'club', 'members', 'donated', 'grocery', 'items', '&', 'amp', ';', 'vegetables', '100', 'sweepers', 'thi']",day  we namakkal east  fans club members donated grocery items amp vegetables to  sweepers during thi
859,2020-05-20,11:51:00,"['#corona', '#tiktok', ""#bantiktok'""]",[],"['like', 'corona', 'tiktok', 'also', 'chinese', 'virus', 'stopped', 'bantiktok']","['like', 'corona', 'tiktok', 'also', 'chinese', 'virus', 'stopped', 'bantiktok']",like corona tiktok is also a chinese virus but it can be stopped bantiktok
860,2020-05-20,11:51:00,"['#corona', '#hydroxychloroquine', '#qanons']",[],"['anyone', 'confirm', 'corona', 'hydroxychloroquine', 'qanons']","['anyone', 'confirm', 'corona', 'hydroxychloroquine', 'qanons']",can anyone confirm this corona hydroxychloroquine qanons
861,2020-05-20,11:51:00,"['#corona', '#virus', '#meat.']",['@vegan_raven:'],"['catch', 'corona', 'virus', 'eating', 'meat', '.', 'seems', 'people', 'say', '.', 'catch', 'virus', 'first', 'place', '.']","['catch', 'corona', 'virus', 'eating', 'meat', '.', 'seems', 'people', 'say', '.', 'catch', 'virus', 'first', 'place', '.']",can you catch corona virus from eating meat it seems people say no so how did we catch the virus in the first place
862,2020-05-20,11:51:00,[],['@suriya_offl'],"['day', '2-', 'nkl', 'east', 'fans', 'club', 'members', 'donated', 'vegetable', 'rice', '50', 'peoples', 'sheltered']","['day', '2-', 'nkl', 'east', 'fans', 'club', 'members', 'donated', 'vegetable', 'rice', '50', 'peoples', 'sheltered']",day  we nkl east  fans club members donated vegetable rice to  peoples who have been sheltered in
