,Date,Time,hashtags,tagged_usernames,text,Text
494,2020-05-20,06:19:00,"['#congress', '#priyankagandhi\\xe2\\x80\\xa6']",[],coronavirus might crisis priyanka gandhi aide up congress chief booked for \xe2\x80\x98forgery\xe2\x80\x99\n\ncongress priyankagandhi\xe2\x80\xa6,coronavirus might crisis priyanka gandhi aide up congress chief booked for \xe2\x80\x98forgery\xe2\x80\x99\n\ncongress priyankagandhi\xe2\x80\xa6
495,2020-05-20,06:19:00,"['#ajantanews', '#delhipolice', ""#a\\xe2\\x80\\xa6'""]",['@ajantanews:'],  delhi police arrests mohammad aasim for morphing bjp youth leader\xe2\x80\x99s photo and making it viral \n\najantanews delhipolice a\xe2\x80\xa6,  delhi police arrests mohammad aasim for morphing bjp youth leader\xe2\x80\x99s photo and making it viral \n\najantanews delhipolice a\xe2\x80\xa6
496,2020-05-20,06:18:00,"['#andhbhakt', '#bjp', '#rss\\n\\nhoti']",['@raja_africa:'],  itcell peddlers spread fake news \n&amp; andhbhakt get carried away\n\nand when they get caught na aati bjp na rss\n\nhoti sirf\xe2\x80\xa6,  itcell peddlers spread fake news \n&amp; andhbhakt get carried away\n\nand when they get caught na aati bjp na rss\n\nhoti sirf\xe2\x80\xa6
497,2020-05-20,06:18:00,"['#un', '#minorities', '#modi\\xe2\\x80\\x99s', '#india.', '#hindutva', '#isla\\xe2\\x80\\xa6""']",['@haqsmusings:'],  un official says concerned over hate speech and discrimination against minorities in modi\xe2\x80\x99s india. hindutva isla\xe2\x80\xa6,  un official says concerned over hate speech and discrimination against minorities in modi\xe2\x80\x99s india. hindutva isla\xe2\x80\xa6
498,2020-05-20,06:17:00,['#bjp'],"['@clauderakisits:', '@pmoindia']",  absolutely!  and his bjp don\xe2\x80\x99t even pretend not to be anti-muslim.,  absolutely!  and his bjp don\xe2\x80\x99t even pretend not to be anti-muslim.
499,2020-05-20,06:17:00,['#bjp'],"['@abhishbanerj', '@desimojito']",  bjp seems caretaker of congress untill rahul coming of age.\n\nbjp needs to learn a lot in\xe2\x80\xa6,  bjp seems caretaker of congress untill rahul coming of age.\n\nbjp needs to learn a lot in\xe2\x80\xa6
500,2020-05-20,06:17:00,[],['@rssurjewala'], we got know all the fake pictures you twitted  from bangladesh .\n\nsuch a shameful congress party and\xe2\x80\xa6, we got know all the fake pictures you twitted  from bangladesh .\n\nsuch a shameful congress party and\xe2\x80\xa6
501,2020-05-20,06:16:00,[],['@sambitswaraj'],i have upload this picture late but this face  having a absolutely clear inner smile\xf0\x9f\x98\x8a that we will de\xe2\x80\xa6,i have upload this picture late but this face  having a absolutely clear inner smile\xf0\x9f\x98\x8a that we will de\xe2\x80\xa6
502,2020-05-20,06:16:00,"['#strategicplan', '#hindu', '#bjp', '#power', '#india']",[],strategicplan hindu knowledge is power sitethese brought bjp modi to power in india,strategicplan hindu knowledge is power sitethese brought bjp modi to power in india
503,2020-05-20,06:15:00,['#bjp'],"['@clauderakisits:', '@pmoindia']",  absolutely!  and his bjp don\xe2\x80\x99t even pretend not to be anti-muslim.,  absolutely!  and his bjp don\xe2\x80\x99t even pretend not to be anti-muslim.
504,2020-05-20,06:15:00,['#bjp'],['@pmoindia'],absolutely!  and his bjp don\xe2\x80\x99t even pretend not to be anti-muslim.,absolutely!  and his bjp don\xe2\x80\x99t even pretend not to be anti-muslim.
505,2020-05-20,06:14:00,"['#india', '#rss', '#bjp']","['@_sabanaqvi', '@bjp4india', '@rssorg', '@hmoindia\\xe2\\x80\\xa6']",see her karname- article against india in pak newspapers.  india rss bjp   \xe2\x80\xa6,see her karname- article against india in pak newspapers.  india rss bjp   \xe2\x80\xa6
506,2020-05-20,06:13:00,['#ahmedabadpolice'],"['@mehharshil:', '@muslimmirror']",  ahmedabadpolice lodged fir against  for \xe2\x80\x9ccreating enmity between hindu and muslims\xe2\x80\x9d. \n\nhandle labeled officer\xe2\x80\xa6,  ahmedabadpolice lodged fir against  for \xe2\x80\x9ccreating enmity between hindu and muslims\xe2\x80\x9d. \n\nhandle labeled officer\xe2\x80\xa6
507,2020-05-20,06:12:00,"['#nelsonsavier', '#news7tamil', '#bjp', '#dmk', '#jothimani\\xe2\\x80\\xa6']",[],nelsonsavier news7tamil bjp should not participate in the biased debate favour only to dmk alliance.\njothimani\xe2\x80\xa6,nelsonsavier news7tamil bjp should not participate in the biased debate favour only to dmk alliance.\njothimani\xe2\x80\xa6
508,2020-05-20,06:12:00,"['#saij', '#saravanan', '#ousudu', '#mandal', '#bjp', '#modiji']",['@iyyappankaali:'],  saij saravanan ousudu mandal bjp modiji congratulations sir,  saij saravanan ousudu mandal bjp modiji congratulations sir
509,2020-05-20,06:11:00,[],['@sciencenewser:'],  home minister\xc2\xa0amit shah proclaimed on saturday evening that he is sound and not experiencing any infection all bits of\xe2\x80\xa6,  home minister\xc2\xa0amit shah proclaimed on saturday evening that he is sound and not experiencing any infection all bits of\xe2\x80\xa6
510,2020-05-20,06:10:00,"['#gurgaon', '#udyogvihar', '#delhi']",['@ashishdua_inc:'],  industries in gurgaon udyogvihar are interlinked with delhi residential areas where many workers reside. what can be\xe2\x80\xa6,  industries in gurgaon udyogvihar are interlinked with delhi residential areas where many workers reside. what can be\xe2\x80\xa6
511,2020-05-20,06:09:00,"['#gurgaon', '#udyogvihar', '#delhi']",['@ashishdua_inc:'],  industries in gurgaon udyogvihar are interlinked with delhi residential areas where many workers reside. what can be\xe2\x80\xa6,  industries in gurgaon udyogvihar are interlinked with delhi residential areas where many workers reside. what can be\xe2\x80\xa6
